职位标题,职位链接
Golang后端开发工程师（AI产品）,http://www.zhaopin.com/jobdetail/CC138117190J40834030505.htm?refcode=4019&srccode=401903&preactionid=1989acf8-f8c2-475e-b9db-64cfe0ddfe9f
餐饮商家AI产品,http://www.zhaopin.com/jobdetail/CC383625320J40820770909.htm?refcode=4019&srccode=401903&preactionid=1989acf8-f8c2-475e-b9db-64cfe0ddfe9f
AI算法工程师,http://www.zhaopin.com/jobdetail/CC501386120J40816554910.htm?refcode=4019&srccode=401903&preactionid=1989acf8-f8c2-475e-b9db-64cfe0ddfe9f
AI智能聊天应用产品经理,http://www.zhaopin.com/jobdetail/CC872232590J40896561908.htm?refcode=4019&srccode=401903&preactionid=1989acf8-f8c2-475e-b9db-64cfe0ddfe9f
AI产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40800938309.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI 中高级开发工程师,http://www.zhaopin.com/jobdetail/CC120702340J40832690814.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
游戏AI算法工程师（棋牌类策略方向）,http://www.zhaopin.com/jobdetail/CCL1406658260J40883101702.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
ai社媒运营,http://www.zhaopin.com/jobdetail/CC383625320J40813580009.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI 应用研发工程师（大模型）,http://www.zhaopin.com/jobdetail/CC232405810J40800949505.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI架构师（AI工程师）,http://www.zhaopin.com/jobdetail/CC000402820J40722653202.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI搜索产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40811029509.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI图像算法工程师,http://www.zhaopin.com/jobdetail/CC139131340J40807541211.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
UI/UX视觉设计师（AI产品）,http://www.zhaopin.com/jobdetail/CC138117190J40830003805.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI体验设计师,http://www.zhaopin.com/jobdetail/CC383625320J40751168209.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI图书编辑,http://www.zhaopin.com/jobdetail/CC120403170J40863974803.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
Golang 后端开发工程师（AI产品),http://www.zhaopin.com/jobdetail/CC138117190J40823602405.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI网络技术研究员2025SBZ05,http://www.zhaopin.com/jobdetail/CC251266610J40710089802.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI美学工程师,http://www.zhaopin.com/jobdetail/CC138117190J40833747905.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
高阶AI应用产品经理,http://www.zhaopin.com/jobdetail/CC383625320J40712308709.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI/NLP/图像/推荐/运筹/运动控制算法工程师,http://www.zhaopin.com/jobdetail/CCL1480117890J40833274105.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
Java高级工程师(AI应用中间件方向),http://www.zhaopin.com/jobdetail/CC383625320J40812403409.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
AI工程师(A23934),http://www.zhaopin.com/jobdetail/CCL1419461850J40831925605.htm?refcode=4019&srccode=401903&preactionid=b6b20bd0-4bbc-4f0f-b3ac-965000221b9c
高级后端研发工程师-AI方向,http://www.zhaopin.com/jobdetail/CC705057820J40803413301.htm?refcode=4019&srccode=401903&preactionid=25ae450d-2b13-43e4-98ad-e46f72e859be
农业ai高级销售,http://www.zhaopin.com/jobdetail/CC120842700J40810370910.htm?refcode=4019&srccode=401903&preactionid=25ae450d-2b13-43e4-98ad-e46f72e859be
Java、全栈、Ai、Python（应届可投）,http://www.zhaopin.com/jobdetail/CCL1480117890J40834342105.htm?refcode=4019&srccode=401903&preactionid=25ae450d-2b13-43e4-98ad-e46f72e859be
AI研发工程师（数据分析与智能体方向）,http://www.zhaopin.com/jobdetail/CC000402820J40710140602.htm?refcode=4019&srccode=401903&preactionid=25ae450d-2b13-43e4-98ad-e46f72e859be
